station,time,item,value,unit
東石站,23,"1,3,5-三甲基苯",0,ppb
東石站,23,鄰-乙基甲苯,0,ppb
東石站,23,"1,2,4-三甲基苯",0.01,ppb
東石站,23,葵烷,0,ppb
東石站,23,"1,2,3-三甲基苯",0,ppb
東石站,23,間-二乙基苯,0,ppb
東石站,23,對-二乙基苯,0,ppbv
東石站,23,正十一烷,0,ppbv
褒忠站,23,乙烷,0.19,ppb
褒忠站,23,乙烯,0.16,ppb
褒忠站,23,丙烷,0.2,ppb
褒忠站,23,丙烯,0.09,ppb
褒忠站,23,異丁烷,0.13,ppb
褒忠站,23,正丁烷,0.27,ppb
褒忠站,23,乙炔,0.33,ppb
褒忠站,23,反2-丁烯,0.03,ppb
褒忠站,23,1-丁烯,0.21,ppb
褒忠站,23,順2-丁烯,0,ppb
褒忠站,23,環戊烷,0.04,ppb
褒忠站,23,異戊烷,0.13,ppb
褒忠站,23,正戊烷,0.05,ppb
褒忠站,23,反2-戊烯,0,ppb
褒忠站,23,1-戊烯,0,ppb
褒忠站,23,順2-戊烯,0,ppb
褒忠站,23,"2,2-二甲基丁烷",0,ppb
褒忠站,23,"2,3-二甲基丁烷",0,ppb
褒忠站,23,2-甲基戊烷,0,ppb
褒忠站,23,3-甲基戊烷,0,ppb
褒忠站,23,異戊二烯,0,ppb
褒忠站,23,正己烷,0,ppb
褒忠站,23,甲基環戊烷,0,ppb
褒忠站,23,"2,4-二甲基戊烷",0,ppb
褒忠站,23,苯,0,ppb
褒忠站,23,環己烷,0,ppb
褒忠站,23,2-甲基己烷,0,ppb
褒忠站,23,"2,3-二甲基戊烷",0,ppb
褒忠站,23,3-甲基己烷,0,ppb
褒忠站,23,"2,2,4-三甲基戊烷",0,ppb
褒忠站,23,正庚烷,0,ppb
褒忠站,23,甲基環己烷,0,ppb
褒忠站,23,"2,3,4-三甲基戊烷",0,ppb
褒忠站,23,甲苯,0.15,ppb
褒忠站,23,2-甲基庚烷,0,ppb
褒忠站,23,3-甲基庚烷,0,ppb
褒忠站,23,正辛烷,0,ppb
褒忠站,23,乙苯,0,ppb
褒忠站,23,"間,對二甲苯",0.09,ppb
褒忠站,23,苯乙烯,0,ppb
褒忠站,23,鄰二甲苯,0,ppb
褒忠站,23,正壬烷,0,ppb
褒忠站,23,異丙基苯,0,ppb
褒忠站,23,正丙基苯,0,ppb
褒忠站,23,間-乙基甲苯,0.01,ppb
褒忠站,23,對-乙基甲苯,0,ppb
褒忠站,23,"1,3,5-三甲基苯",0,ppb
褒忠站,23,鄰-乙基甲苯,0,ppb
褒忠站,23,"1,2,4-三甲基苯",0.02,ppb
褒忠站,23,葵烷,0,ppb
褒忠站,23,"1,2,3-三甲基苯",0,ppb
褒忠站,23,間-二乙基苯,0,ppb
褒忠站,23,對-二乙基苯,0,ppbv
褒忠站,23,正十一烷,0,ppbv
崙背站,23,乙烷,0.27,ppb
崙背站,23,乙烯,0.41,ppb
崙背站,23,丙烷,0.45,ppb
崙背站,23,丙烯,0.17,ppb
崙背站,23,異丁烷,0.15,ppb
崙背站,23,正丁烷,0.33,ppb
崙背站,23,乙炔,0,ppb
崙背站,23,反2-丁烯,0.05,ppb
崙背站,23,1-丁烯,0.14,ppb
崙背站,23,順2-丁烯,0,ppb
崙背站,23,環戊烷,0.18,ppb
崙背站,23,異戊烷,0.16,ppb
崙背站,23,正戊烷,0.06,ppb
崙背站,23,反2-戊烯,0,ppb
崙背站,23,1-戊烯,0,ppb
崙背站,23,順2-戊烯,0,ppb
崙背站,23,"2,2-二甲基丁烷",0,ppb
崙背站,23,"2,3-二甲基丁烷",0,ppb
崙背站,23,2-甲基戊烷,0.03,ppb
崙背站,23,3-甲基戊烷,0,ppb
崙背站,23,異戊二烯,0.04,ppb
崙背站,23,正己烷,0,ppb
崙背站,23,甲基環戊烷,0,ppb
崙背站,23,"2,4-二甲基戊烷",0,ppb
崙背站,23,苯,0,ppb
崙背站,23,環己烷,0,ppb
崙背站,23,2-甲基己烷,0,ppb
崙背站,23,"2,3-二甲基戊烷",0,ppb
崙背站,23,3-甲基己烷,0,ppb
崙背站,23,"2,2,4-三甲基戊烷",0,ppb
崙背站,23,正庚烷,0,ppb
崙背站,23,甲基環己烷,0,ppb
崙背站,23,"2,3,4-三甲基戊烷",0,ppb
崙背站,23,甲苯,0,ppb
崙背站,23,2-甲基庚烷,0,ppb
崙背站,23,3-甲基庚烷,0,ppb
崙背站,23,正辛烷,0,ppb
崙背站,23,乙苯,0,ppb
崙背站,23,"間,對二甲苯",0,ppb
崙背站,23,苯乙烯,0,ppb
崙背站,23,鄰二甲苯,0,ppb
崙背站,23,正壬烷,0,ppb
崙背站,23,異丙基苯,0,ppb
崙背站,23,正丙基苯,0,ppb
崙背站,23,間-乙基甲苯,0,ppb
崙背站,23,對-乙基甲苯,0,ppb
崙背站,23,"1,3,5-三甲基苯",0,ppb
崙背站,23,鄰-乙基甲苯,0,ppb
崙背站,23,"1,2,4-三甲基苯",0,ppb
崙背站,23,葵烷,0,ppb
崙背站,23,"1,2,3-三甲基苯",0,ppb
崙背站,23,間-二乙基苯,0,ppb
崙背站,23,對-二乙基苯,0,ppbv
崙背站,23,正十一烷,0,ppbv
四湖站,23,乙烷,0.19,ppb
四湖站,23,乙烯,0,ppb
四湖站,23,丙烷,0,ppb
四湖站,23,丙烯,0,ppb
四湖站,23,異丁烷,0,ppb
四湖站,23,正丁烷,0.05,ppb
四湖站,23,乙炔,0,ppb
四湖站,23,反2-丁烯,0,ppb
四湖站,23,1-丁烯,0.24,ppb
四湖站,23,順2-丁烯,0,ppb
四湖站,23,環戊烷,0,ppb
四湖站,23,異戊烷,0.03,ppb
四湖站,23,正戊烷,0,ppb
四湖站,23,反2-戊烯,0,ppb
四湖站,23,1-戊烯,0,ppb
四湖站,23,順2-戊烯,0,ppb
四湖站,23,"2,2-二甲基丁烷",0,ppb
四湖站,23,"2,3-二甲基丁烷",0,ppb
四湖站,23,2-甲基戊烷,0,ppb
四湖站,23,3-甲基戊烷,0,ppb
四湖站,23,異戊二烯,0,ppb
四湖站,23,正己烷,0,ppb
四湖站,23,甲基環戊烷,0,ppb
四湖站,23,"2,4-二甲基戊烷",0,ppb
四湖站,23,苯,0,ppb
四湖站,23,環己烷,0,ppb
四湖站,23,2-甲基己烷,0,ppb
四湖站,23,"2,3-二甲基戊烷",0,ppb
四湖站,23,3-甲基己烷,0,ppb
四湖站,23,"2,2,4-三甲基戊烷",0,ppb
四湖站,23,正庚烷,0,ppb
四湖站,23,甲基環己烷,0,ppb
四湖站,23,"2,3,4-三甲基戊烷",0,ppb
四湖站,23,甲苯,0.06,ppb
四湖站,23,2-甲基庚烷,0,ppb
四湖站,23,3-甲基庚烷,0,ppb
四湖站,23,正辛烷,0,ppb
四湖站,23,乙苯,0,ppb
四湖站,23,"間,對二甲苯",0,ppb
四湖站,23,苯乙烯,0,ppb
四湖站,23,鄰二甲苯,0,ppb
四湖站,23,正壬烷,0,ppb
四湖站,23,異丙基苯,0,ppb
四湖站,23,正丙基苯,0,ppb
四湖站,23,間-乙基甲苯,0,ppb
四湖站,23,對-乙基甲苯,0,ppb
四湖站,23,"1,3,5-三甲基苯",0,ppb
四湖站,23,鄰-乙基甲苯,0,ppb
四湖站,23,"1,2,4-三甲基苯",0.02,ppb
四湖站,23,葵烷,0,ppb
四湖站,23,"1,2,3-三甲基苯",0.02,ppb
四湖站,23,間-二乙基苯,0,ppb
四湖站,23,對-二乙基苯,0,ppbv
四湖站,23,正十一烷,0,ppbv
東勢站,23,乙烷,0.24,ppb
東勢站,23,乙烯,0.13,ppb
東勢站,23,丙烷,0.19,ppb
東勢站,23,丙烯,0.16,ppb
東勢站,23,異丁烷,0.17,ppb
東勢站,23,正丁烷,0.31,ppb
東勢站,23,乙炔,0,ppb
東勢站,23,反2-丁烯,0.05,ppb
東勢站,23,1-丁烯,0.38,ppb
東勢站,23,順2-丁烯,0.03,ppb
東勢站,23,環戊烷,0.04,ppb
東勢站,23,異戊烷,0.18,ppb
東勢站,23,正戊烷,0.06,ppb
東勢站,23,反2-戊烯,0.02,ppb
東勢站,23,1-戊烯,0,ppb
東勢站,23,順2-戊烯,0,ppb
東勢站,23,"2,2-二甲基丁烷",0,ppb
東勢站,23,"2,3-二甲基丁烷",0,ppb
東勢站,23,2-甲基戊烷,0,ppb
東勢站,23,3-甲基戊烷,0,ppb
東勢站,23,異戊二烯,0,ppb
東勢站,23,正己烷,0,ppb
東勢站,23,甲基環戊烷,0,ppb
東勢站,23,"2,4-二甲基戊烷",0,ppb
東勢站,23,苯,0.02,ppb
東勢站,23,環己烷,0,ppb
東勢站,23,2-甲基己烷,0,ppb
東勢站,23,"2,3-二甲基戊烷",0,ppb
東勢站,23,3-甲基己烷,0,ppb
東勢站,23,"2,2,4-三甲基戊烷",0,ppb
東勢站,23,正庚烷,0,ppb
東勢站,23,甲基環己烷,0,ppb
東勢站,23,"2,3,4-三甲基戊烷",0,ppb
東勢站,23,甲苯,0.13,ppb
東勢站,23,2-甲基庚烷,0,ppb
東勢站,23,3-甲基庚烷,0,ppb
東勢站,23,正辛烷,0,ppb
東勢站,23,乙苯,0,ppb
東勢站,23,"間,對二甲苯",0.04,ppb
東勢站,23,苯乙烯,0,ppb
東勢站,23,鄰二甲苯,0,ppb
東勢站,23,正壬烷,0,ppb
東勢站,23,異丙基苯,0,ppb
東勢站,23,正丙基苯,0,ppb
東勢站,23,間-乙基甲苯,0,ppb
東勢站,23,對-乙基甲苯,0,ppb
東勢站,23,"1,3,5-三甲基苯",0,ppb
東勢站,23,鄰-乙基甲苯,0,ppb
東勢站,23,"1,2,4-三甲基苯",0.03,ppb
東勢站,23,葵烷,0,ppb
東勢站,23,"1,2,3-三甲基苯",0,ppb
東勢站,23,間-二乙基苯,0,ppb
東勢站,23,對-二乙基苯,0,ppbv
東勢站,23,正十一烷,0,ppbv
麥寮站,23,乙烷,0.19,ppb
麥寮站,23,乙烯,0,ppb
麥寮站,23,丙烷,0,ppb
麥寮站,23,丙烯,0.03,ppb
麥寮站,23,異丁烷,0,ppb
麥寮站,23,正丁烷,0,ppb
麥寮站,23,乙炔,0,ppb
麥寮站,23,反2-丁烯,0,ppb
麥寮站,23,1-丁烯,0.14,ppb
麥寮站,23,順2-丁烯,0,ppb
麥寮站,23,環戊烷,0,ppb
麥寮站,23,異戊烷,0.02,ppb
麥寮站,23,正戊烷,0.03,ppb
麥寮站,23,反2-戊烯,0,ppb
麥寮站,23,1-戊烯,0,ppb
麥寮站,23,順2-戊烯,0,ppb
麥寮站,23,"2,2-二甲基丁烷",0,ppb
麥寮站,23,"2,3-二甲基丁烷",0,ppb
麥寮站,23,2-甲基戊烷,0,ppb
麥寮站,23,3-甲基戊烷,0,ppb
麥寮站,23,異戊二烯,0,ppb
麥寮站,23,正己烷,0,ppb
麥寮站,23,甲基環戊烷,0,ppb
麥寮站,23,"2,4-二甲基戊烷",0,ppb
麥寮站,23,苯,0.02,ppb
麥寮站,23,環己烷,0,ppb
麥寮站,23,2-甲基己烷,0,ppb
麥寮站,23,"2,3-二甲基戊烷",0,ppb
麥寮站,23,3-甲基己烷,0,ppb
麥寮站,23,"2,2,4-三甲基戊烷",0,ppb
麥寮站,23,正庚烷,0,ppb
麥寮站,23,甲基環己烷,0,ppb
麥寮站,23,"2,3,4-三甲基戊烷",0,ppb
麥寮站,23,甲苯,0.05,ppb
麥寮站,23,2-甲基庚烷,0,ppb
麥寮站,23,3-甲基庚烷,0,ppb
麥寮站,23,正辛烷,0,ppb
麥寮站,23,乙苯,0,ppb
麥寮站,23,"間,對二甲苯",0.04,ppb
麥寮站,23,苯乙烯,0,ppb
麥寮站,23,鄰二甲苯,0,ppb
麥寮站,23,正壬烷,0,ppb
麥寮站,23,異丙基苯,0,ppb
麥寮站,23,正丙基苯,0,ppb
麥寮站,23,間-乙基甲苯,0,ppb
麥寮站,23,對-乙基甲苯,0,ppb
麥寮站,23,"1,3,5-三甲基苯",0,ppb
麥寮站,23,鄰-乙基甲苯,0,ppb
麥寮站,23,"1,2,4-三甲基苯",0,ppb
麥寮站,23,葵烷,0,ppb
麥寮站,23,"1,2,3-三甲基苯",0,ppb
麥寮站,23,間-二乙基苯,0,ppb
麥寮站,23,對-二乙基苯,0,ppbv
麥寮站,23,正十一烷,0,ppbv
台西站,23,乙烷,0.17,ppb
台西站,23,乙烯,0,ppb
台西站,23,丙烷,0,ppb
台西站,23,丙烯,0,ppb
台西站,23,異丁烷,0,ppb
台西站,23,正丁烷,0,ppb
台西站,23,乙炔,0,ppb
台西站,23,反2-丁烯,0,ppb
台西站,23,1-丁烯,0.06,ppb
台西站,23,順2-丁烯,0,ppb
台西站,23,環戊烷,0,ppb
台西站,23,異戊烷,0.03,ppb
台西站,23,正戊烷,0,ppb
台西站,23,反2-戊烯,0,ppb
台西站,23,1-戊烯,0,ppb
台西站,23,順2-戊烯,0,ppb
台西站,23,"2,2-二甲基丁烷",0,ppb
台西站,23,"2,3-二甲基丁烷",0,ppb
台西站,23,2-甲基戊烷,0,ppb
台西站,23,3-甲基戊烷,0,ppb
台西站,23,異戊二烯,0,ppb
台西站,23,正己烷,0,ppb
台西站,23,甲基環戊烷,0,ppb
台西站,23,"2,4-二甲基戊烷",0,ppb
台西站,23,苯,0,ppb
台西站,23,環己烷,0,ppb
台西站,23,2-甲基己烷,0,ppb
台西站,23,"2,3-二甲基戊烷",0,ppb
台西站,23,3-甲基己烷,0,ppb
台西站,23,"2,2,4-三甲基戊烷",0,ppb
台西站,23,正庚烷,0,ppb
台西站,23,甲基環己烷,0,ppb
台西站,23,"2,3,4-三甲基戊烷",0,ppb
台西站,23,甲苯,0,ppb
台西站,23,2-甲基庚烷,0,ppb
台西站,23,3-甲基庚烷,0,ppb
台西站,23,正辛烷,0,ppb
台西站,23,乙苯,0,ppb
台西站,23,"間,對二甲苯",0,ppb
台西站,23,苯乙烯,0,ppb
台西站,23,鄰二甲苯,0,ppb
台西站,23,正壬烷,0,ppb
台西站,23,異丙基苯,0,ppb
台西站,23,正丙基苯,0,ppb
台西站,23,間-乙基甲苯,0,ppb
台西站,23,對-乙基甲苯,0,ppb
台西站,23,"1,3,5-三甲基苯",0,ppb
台西站,23,鄰-乙基甲苯,0,ppb
台西站,23,"1,2,4-三甲基苯",0.01,ppb
台西站,23,葵烷,0,ppb
台西站,23,"1,2,3-三甲基苯",0.01,ppb
台西站,23,間-二乙基苯,0.01,ppb
台西站,23,對-二乙基苯,0,ppbv
台西站,23,正十一烷,0,ppbv
土庫站,23,乙烷,0.52,ppb
土庫站,23,乙烯,0.51,ppb
土庫站,23,丙烷,0.25,ppb
土庫站,23,丙烯,0.16,ppb
土庫站,23,異丁烷,0.14,ppb
土庫站,23,正丁烷,0.31,ppb
土庫站,23,乙炔,0.42,ppb
土庫站,23,反2-丁烯,0.02,ppb
土庫站,23,1-丁烯,0.06,ppb
土庫站,23,順2-丁烯,0,ppb
土庫站,23,環戊烷,0.02,ppb
土庫站,23,異戊烷,0.14,ppb
土庫站,23,正戊烷,0.08,ppb
土庫站,23,反2-戊烯,0,ppb
土庫站,23,1-戊烯,0,ppb
土庫站,23,順2-戊烯,0,ppb
土庫站,23,"2,2-二甲基丁烷",0,ppb
土庫站,23,"2,3-二甲基丁烷",0.02,ppb
土庫站,23,2-甲基戊烷,0.04,ppb
土庫站,23,3-甲基戊烷,0.03,ppb
土庫站,23,異戊二烯,0.06,ppb
土庫站,23,正己烷,0,ppb
土庫站,23,甲基環戊烷,0,ppb
土庫站,23,"2,4-二甲基戊烷",0,ppb
土庫站,23,苯,0.04,ppb
土庫站,23,環己烷,0,ppb
土庫站,23,2-甲基己烷,0,ppb
土庫站,23,"2,3-二甲基戊烷",0,ppb
土庫站,23,3-甲基己烷,0.01,ppb
土庫站,23,"2,2,4-三甲基戊烷",0,ppb
土庫站,23,正庚烷,0.02,ppb
土庫站,23,甲基環己烷,0,ppb
土庫站,23,"2,3,4-三甲基戊烷",0,ppb
土庫站,23,甲苯,0.16,ppb
土庫站,23,2-甲基庚烷,0,ppb
土庫站,23,3-甲基庚烷,0,ppb
土庫站,23,正辛烷,0.02,ppb
土庫站,23,乙苯,0.01,ppb
土庫站,23,"間,對二甲苯",0.08,ppb
土庫站,23,苯乙烯,0,ppb
土庫站,23,鄰二甲苯,0.03,ppb
土庫站,23,正壬烷,0,ppb
土庫站,23,異丙基苯,0,ppb
土庫站,23,正丙基苯,0,ppb
土庫站,23,間-乙基甲苯,0.02,ppb
土庫站,23,對-乙基甲苯,0,ppb
土庫站,23,"1,3,5-三甲基苯",0.02,ppb
土庫站,23,鄰-乙基甲苯,0,ppb
土庫站,23,"1,2,4-三甲基苯",0.05,ppb
土庫站,23,葵烷,0,ppb
土庫站,23,"1,2,3-三甲基苯",0.02,ppb
土庫站,23,間-二乙基苯,0,ppb
土庫站,23,對-二乙基苯,0,ppbv
土庫站,23,正十一烷,0,ppbv
西螺站,23,乙烷,0.54,ppb
西螺站,23,乙烯,0.91,ppb
西螺站,23,丙烷,0.89,ppb
西螺站,23,丙烯,0.37,ppb
西螺站,23,異丁烷,0.34,ppb
西螺站,23,正丁烷,0.79,ppb
西螺站,23,乙炔,0.58,ppb
西螺站,23,反2-丁烯,0.08,ppb
西螺站,23,1-丁烯,0.1,ppb
西螺站,23,順2-丁烯,0,ppb
西螺站,23,環戊烷,0.04,ppb
西螺站,23,異戊烷,0.46,ppb
西螺站,23,正戊烷,0.18,ppb
西螺站,23,反2-戊烯,0.05,ppb
西螺站,23,1-戊烯,0.02,ppb
西螺站,23,順2-戊烯,0,ppb
西螺站,23,"2,2-二甲基丁烷",0,ppb
西螺站,23,"2,3-二甲基丁烷",0.05,ppb
西螺站,23,2-甲基戊烷,0.13,ppb
西螺站,23,3-甲基戊烷,0.08,ppb
西螺站,23,異戊二烯,0.13,ppb
西螺站,23,正己烷,0,ppb
西螺站,23,甲基環戊烷,0.01,ppb
西螺站,23,"2,4-二甲基戊烷",0,ppb
西螺站,23,苯,0,ppb
西螺站,23,環己烷,0,ppb
西螺站,23,2-甲基己烷,0.04,ppb
西螺站,23,"2,3-二甲基戊烷",0,ppb
西螺站,23,3-甲基己烷,0,ppb
西螺站,23,"2,2,4-三甲基戊烷",0.06,ppb
西螺站,23,正庚烷,0,ppb
西螺站,23,甲基環己烷,0,ppb
西螺站,23,"2,3,4-三甲基戊烷",0.04,ppb
西螺站,23,甲苯,0.53,ppb
西螺站,23,2-甲基庚烷,0,ppb
西螺站,23,3-甲基庚烷,0,ppb
西螺站,23,正辛烷,0,ppb
西螺站,23,乙苯,0.06,ppb
西螺站,23,"間,對二甲苯",0.26,ppb
西螺站,23,苯乙烯,0,ppb
西螺站,23,鄰二甲苯,0.08,ppb
西螺站,23,正壬烷,0,ppb
西螺站,23,異丙基苯,0,ppb
西螺站,23,正丙基苯,0.01,ppb
西螺站,23,間-乙基甲苯,0.05,ppb
西螺站,23,對-乙基甲苯,0,ppb
西螺站,23,"1,3,5-三甲基苯",0.02,ppb
西螺站,23,鄰-乙基甲苯,0.04,ppb
西螺站,23,"1,2,4-三甲基苯",0.11,ppb
西螺站,23,葵烷,0,ppb
西螺站,23,"1,2,3-三甲基苯",0.06,ppb
西螺站,23,間-二乙基苯,0,ppb
西螺站,23,對-二乙基苯,0.01,ppbv
西螺站,23,正十一烷,0.03,ppbv
